Season,Player,Team,Pos,name
2017,Adam Butler,NE,DT,A.Butler
2017,Alan Branch,NE,DE,A.Branch
2017,Brandin Cooks,NE,WR,B.Cooks
2017,Brandon King,NE,DB,B.King
2017,Cassius Marsh,NE,OLB,C.Marsh
2017,Chris Hogan,NE,WR,C.Hogan
2017,Danny Amendola,NE,WR,D.Amendola
2017,David Harris,NE,LB,D.Harris
2017,Deatrich Wise,NE,DT,D.Wise
2017,Devin McCourty,NE,FS,D.McCourty
2017,Dion Lewis,NE,RB,D.Lewis
2017,Dont'a Hightower,NE,MLB,D.Hightower
2017,Duron Harmon,NE,SS,D.Harmon
2017,Dwayne Allen,NE,TE,D.Allen
2017,Elandon Roberts,NE,OLB,E.Roberts
2017,Eric Rowe,NE,CB,E.Rowe
2017,Geneo Grissom,NE,DE,G.Grissom
2017,Harvey Langi,NE,LB,H.Langi
2017,Jacob Hollister,NE,TE,J.Hollister
2017,James White,NE,RB,J.White
2017,Johnson Bademosi,NE,CB,J.Bademosi
2017,Jonathan Jones,NE,CB,J.Jones
2017,Jordan Richards,NE,SS,J.Richards
2017,Kyle Van Noy,NE,OLB,K.Noy
2017,Lawrence Guy,NE,DE,L.Guy
2017,Malcolm Butler,NE,CB,M.Butler
2017,Malcom Brown,NE,DT,M.Brown
2017,Marquis Flowers,NE,LB,M.Flowers
2017,Mike Gillislee,NE,RB,M.Gillislee
2017,Nate Ebner,NE,DB,N.Ebner
2017,Patrick Chung,NE,SS,P.Chung
2017,Phillip Dorsett,NE,WR,P.Dorsett
2017,Rex Burkhead,NE,RB,R.Burkhead
2017,Rob Gronkowski,NE,TE,R.Gronkowski
2017,Ryan Allen,NE,P,R.Allen
2017,Stephen Gostkowski,NE,K,S.Gostkowski
2017,Stephon Gilmore,NE,CB,S.Gilmore
2017,Tom Brady,NE,QB,T.Brady
2017,Trevor Reilly,NE,LB,T.Reilly
2017,Trey Flowers,NE,DE,T.Flowers
2017,Vincent Valentine,NE,NT,V.Valentine
2017,Akeem Hunt,KC,RB,A.Hunt
2017,Albert Wilson,KC,WR,A.Wilson
2017,Alex Smith,KC,QB,A.Smith
2017,Allen Bailey,KC,DE,A.Bailey
2017,Anthony Sherman,KC,FB,A.Sherman
2017,Bennie Logan,KC,NT,B.Logan
2017,C.J. Spiller,KC,RB,C.Spiller
2017,Cairo Santos,KC,K,C.Santos
2017,Charcandrick West,KC,RB,C.West
2017,Chris Conley,KC,WR,C.Conley
2017,Chris Jones,KC,DE,C.Jones
2017,D.J. White,KC,CB,D.White
2017,Daniel Sorensen,KC,SS,D.Sorensen
2017,De'Anthony Thomas,KC,WR,D.Thomas
2017,Dee Ford,KC,OLB,D.Ford
2017,Demarcus Robinson,KC,WR,D.Robinson
2017,Demetrius Harris,KC,TE,D.Harris
2017,Derrick Johnson,KC,ILB,D.Johnson
2017,Dustin Colquitt,KC,P,D.Colquitt
2017,Eric Berry,KC,SS,E.Berry
2017,Eric Murray,KC,CB,E.Murray
2017,Frank Zombo,KC,OLB,F.Zombo
2017,Harrison Butker,KC,K,H.Butker
2017,Jarvis Jenkins,KC,DT,J.Jenkins
