type,game_id,home_team,away_team,week,season,state_of_game,game_url,home_score,away_score
reg,2010090900,NO,MIN,1,2010,POST,http://www.nfl.com/liveupdate/game-center/2010090900/2010090900_gtd.json,14,9
reg,2010091200,TB,CLE,1,2010,POST,http://www.nfl.com/liveupdate/game-center/2010091200/2010091200_gtd.json,17,14
reg,2010091209,PIT,ATL,1,2010,POST,http://www.nfl.com/liveupdate/game-center/2010091209/2010091209_gtd.json,15,9
reg,2010091207,CHI,DET,1,2010,POST,http://www.nfl.com/liveupdate/game-center/2010091207/2010091207_gtd.json,19,14
reg,2010091206,NYG,CAR,1,2010,POST,http://www.nfl.com/liveupdate/game-center/2010091206/2010091206_gtd.json,31,18
reg,2010091205,TEN,OAK,1,2010,POST,http://www.nfl.com/liveupdate/game-center/2010091205/2010091205_gtd.json,38,13
reg,2010091204,JAC,DEN,1,2010,POST,http://www.nfl.com/liveupdate/game-center/2010091204/2010091204_gtd.json,24,17
reg,2010091201,BUF,MIA,1,2010,POST,http://www.nfl.com/liveupdate/game-center/2010091201/2010091201_gtd.json,10,15
reg,2010091202,NE,CIN,1,2010,POST,http://www.nfl.com/liveupdate/game-center/2010091202/2010091202_gtd.json,38,24
reg,2010091203,HOU,IND,1,2010,POST,http://www.nfl.com/liveupdate/game-center/2010091203/2010091203_gtd.json,34,24
reg,2010091210,PHI,GB,1,2010,POST,http://www.nfl.com/liveupdate/game-center/2010091210/2010091210_gtd.json,20,27
reg,2010091208,STL,ARI,1,2010,POST,http://www.nfl.com/liveupdate/game-center/2010091208/2010091208_gtd.json,13,17
reg,2010091211,SEA,SF,1,2010,POST,http://www.nfl.com/liveupdate/game-center/2010091211/2010091211_gtd.json,31,6
reg,2010091212,WAS,DAL,1,2010,POST,http://www.nfl.com/liveupdate/game-center/2010091212/2010091212_gtd.json,13,7
reg,2010091300,NYJ,BAL,1,2010,POST,http://www.nfl.com/liveupdate/game-center/2010091300/2010091300_gtd.json,9,10
reg,2010091301,KC,SD,1,2010,POST,http://www.nfl.com/liveupdate/game-center/2010091301/2010091301_gtd.json,21,14
reg,2010091901,GB,BUF,2,2010,POST,http://www.nfl.com/liveupdate/game-center/2010091901/2010091901_gtd.json,34,7
reg,2010091912,CIN,BAL,2,2010,POST,http://www.nfl.com/liveupdate/game-center/2010091912/2010091912_gtd.json,15,10
reg,2010091908,CAR,TB,2,2010,POST,http://www.nfl.com/liveupdate/game-center/2010091908/2010091908_gtd.json,7,20
reg,2010091907,ATL,ARI,2,2010,POST,http://www.nfl.com/liveupdate/game-center/2010091907/2010091907_gtd.json,41,7
reg,2010091906,DET,PHI,2,2010,POST,http://www.nfl.com/liveupdate/game-center/2010091906/2010091906_gtd.json,32,35
reg,2010091905,DAL,CHI,2,2010,POST,http://www.nfl.com/liveupdate/game-center/2010091905/2010091905_gtd.json,20,27
reg,2010091904,TEN,PIT,2,2010,POST,http://www.nfl.com/liveupdate/game-center/2010091904/2010091904_gtd.json,11,19
reg,2010091902,MIN,MIA,2,2010,POST,http://www.nfl.com/liveupdate/game-center/2010091902/2010091902_gtd.json,10,14
reg,2010091903,CLE,KC,2,2010,POST,http://www.nfl.com/liveupdate/game-center/2010091903/2010091903_gtd.json,14,16
reg,2010091910,OAK,STL,2,2010,POST,http://www.nfl.com/liveupdate/game-center/2010091910/2010091910_gtd.json,16,14
reg,2010091909,DEN,SEA,2,2010,POST,http://www.nfl.com/liveupdate/game-center/2010091909/2010091909_gtd.json,31,14
reg,2010091911,NYJ,NE,2,2010,POST,http://www.nfl.com/liveupdate/game-center/2010091911/2010091911_gtd.json,28,14
reg,2010091913,SD,JAC,2,2010,POST,http://www.nfl.com/liveupdate/game-center/2010091913/2010091913_gtd.json,38,13
reg,2010091900,WAS,HOU,2,2010,POST,http://www.nfl.com/liveupdate/game-center/2010091900/2010091900_gtd.json,27,30
reg,2010091914,IND,NYG,2,2010,POST,http://www.nfl.com/liveupdate/game-center/2010091914/2010091914_gtd.json,38,14
reg,2010092000,SF,NO,2,2010,POST,http://www.nfl.com/liveupdate/game-center/2010092000/2010092000_gtd.json,22,25
reg,2010092600,NYG,TEN,3,2010,POST,http://www.nfl.com/liveupdate/game-center/2010092600/2010092600_gtd.json,10,29
reg,2010092601,CAR,CIN,3,2010,POST,http://www.nfl.com/liveupdate/game-center/2010092601/2010092601_gtd.json,7,20
reg,2010092602,TB,PIT,3,2010,POST,http://www.nfl.com/liveupdate/game-center/2010092602/2010092602_gtd.json,13,38
reg,2010092603,NE,BUF,3,2010,POST,http://www.nfl.com/liveupdate/game-center/2010092603/2010092603_gtd.json,38,30
reg,2010092608,HOU,DAL,3,2010,POST,http://www.nfl.com/liveupdate/game-center/2010092608/2010092608_gtd.json,13,27
reg,2010092605,MIN,DET,3,2010,POST,http://www.nfl.com/liveupdate/game-center/2010092605/2010092605_gtd.json,24,10
reg,2010092606,NO,ATL,3,2010,POST,http://www.nfl.com/liveupdate/game-center/2010092606/2010092606_gtd.json,24,27
reg,2010092609,KC,SF,3,2010,POST,http://www.nfl.com/liveupdate/game-center/2010092609/2010092609_gtd.json,31,10
reg,2010092604,BAL,CLE,3,2010,POST,http://www.nfl.com/liveupdate/game-center/2010092604/2010092604_gtd.json,24,17
reg,2010092607,STL,WAS,3,2010,POST,http://www.nfl.com/liveupdate/game-center/2010092607/2010092607_gtd.json,30,16
reg,2010092610,JAC,PHI,3,2010,POST,http://www.nfl.com/liveupdate/game-center/2010092610/2010092610_gtd.json,3,28
reg,2010092611,DEN,IND,3,2010,POST,http://www.nfl.com/liveupdate/game-center/2010092611/2010092611_gtd.json,13,27
reg,2010092612,ARI,OAK,3,2010,POST,http://www.nfl.com/liveupdate/game-center/2010092612/2010092612_gtd.json,24,23
reg,2010092613,SEA,SD,3,2010,POST,http://www.nfl.com/liveupdate/game-center/2010092613/2010092613_gtd.json,27,20
reg,2010092614,MIA,NYJ,3,2010,POST,http://www.nfl.com/liveupdate/game-center/2010092614/2010092614_gtd.json,23,31
reg,2010092700,CHI,GB,3,2010,POST,http://www.nfl.com/liveupdate/game-center/2010092700/2010092700_gtd.json,20,17
reg,2010100300,BUF,NYJ,4,2010,POST,http://www.nfl.com/liveupdate/game-center/2010100300/2010100300_gtd.json,14,38
reg,2010100301,CLE,CIN,4,2010,POST,http://www.nfl.com/liveupdate/game-center/2010100301/2010100301_gtd.json,23,20
reg,2010100302,PIT,BAL,4,2010,POST,http://www.nfl.com/liveupdate/game-center/2010100302/2010100302_gtd.json,14,17
reg,2010100303,TEN,DEN,4,2010,POST,http://www.nfl.com/liveupdate/game-center/2010100303/2010100303_gtd.json,20,26
reg,2010100304,GB,DET,4,2010,POST,http://www.nfl.com/liveupdate/game-center/2010100304/2010100304_gtd.json,28,26
reg,2010100305,ATL,SF,4,2010,POST,http://www.nfl.com/liveupdate/game-center/2010100305/2010100305_gtd.json,16,14
reg,2010100306,NO,CAR,4,2010,POST,http://www.nfl.com/liveupdate/game-center/2010100306/2010100306_gtd.json,16,14
reg,2010100307,STL,SEA,4,2010,POST,http://www.nfl.com/liveupdate/game-center/2010100307/2010100307_gtd.json,20,3
reg,2010100308,JAC,IND,4,2010,POST,http://www.nfl.com/liveupdate/game-center/2010100308/2010100308_gtd.json,31,28
reg,2010100309,OAK,HOU,4,2010,POST,http://www.nfl.com/liveupdate/game-center/2010100309/2010100309_gtd.json,24,31
reg,2010100310,PHI,WAS,4,2010,POST,http://www.nfl.com/liveupdate/game-center/2010100310/2010100310_gtd.json,12,17
