Season,Player,Team,Pos,name,GSIS_ID
2015,Aaron Rodgers,GB,QB,A.Rodgers,00-0023459
2015,AJ McCarron,CIN,QB,A.McCarron,00-0031288
2015,Alex Smith,KC,QB,A.Smith,00-0023436
2015,Alex Tanney,TEN,QB,A.Tanney,00-0029623
2015,Andrew Luck,IND,QB,A.Luck,00-0029668
2015,Andy Dalton,CIN,QB,A.Dalton,00-0027973
2015,Austin Davis,CLE,QB,A.Davis,00-0028957
2015,B.J. Daniels,HOU,QB,B.Daniels,00-0030120
2015,Ben Roethlisberger,PIT,QB,B.Roethlisberger,00-0022924
2015,Blaine Gabbert,SF,QB,B.Gabbert,00-0027948
2015,Blake Bortles,JAC,QB,B.Bortles,00-0031407
2015,Brandon Weeden,HOU,QB,B.Weeden,00-0029677
2015,Brian Hoyer,HOU,QB,B.Hoyer,00-0026625
2015,Brock Osweiler,DEN,QB,B.Osweiler,00-0029682
2015,Cam Newton,CAR,QB,C.Newton,00-0027939
2015,Carson Palmer,ARI,QB,C.Palmer,00-0021429
2015,Case Keenum,STL,QB,C.Keenum,00-0028986
2015,Charlie Whitehurst,IND,QB,C.Whitehurst,00-0024296
2015,Chase Daniel,KC,QB,C.Daniel,00-0026544
2015,Colin Kaepernick,SF,QB,C.Kaepernick,00-0027974
2015,Colt McCoy,WAS,QB,C.McCoy,00-0027688
2015,Dan Orlovsky,DET,QB,D.Orlovsky,00-0023578
2015,Derek Anderson,CAR,QB,D.Anderson,00-0023645
2015,Derek Carr,OAK,QB,D.Carr,00-0031280
2015,Drew Brees,NO,QB,D.Brees,00-0020531
2015,Drew Stanton,ARI,QB,D.Stanton,00-0025430
2015,EJ Manuel,BUF,QB,E.Manuel,00-0030526
2015,Eli Manning,NYG,QB,E.Manning,00-0022803
2015,Geno Smith,NYJ,QB,G.Smith,00-0030565
2015,Jameis Winston,TB,QB,J.Winston,00-0031503
2015,Jay Cutler,CHI,QB,J.Cutler,00-0024226
2015,Jimmy Clausen,BAL,QB,J.Clausen,00-0027659
2015,Jimmy Garoppolo,NE,QB,J.Garoppolo,00-0031345
2015,Joe Flacco,BAL,QB,J.Flacco,00-0026158
2015,Johnny Manziel,CLE,QB,J.Manziel,00-0031409
2015,Josh Freeman,IND,QB,J.Freeman,00-0026993
2015,Josh McCown,CLE,QB,J.McCown,00-0021206
2015,Kellen Clemens,SD,QB,K.Clemens,00-0024264
2015,Kellen Moore,DAL,QB,K.Moore,00-0029234
2015,Kirk Cousins,WAS,QB,K.Cousins,00-0029604
2015,Landry Jones,PIT,QB,L.Jones,00-0030524
2015,Luke McCown,NO,QB,L.McCown,00-0022864
2015,Marcus Mariota,TEN,QB,M.Mariota,00-0032268
2015,Mark Sanchez,PHI,QB,M.Sanchez,00-0026898
2015,Matt Cassel,DAL,QB,M.Cassel,00-0023662
2015,Matt Hasselbeck,IND,QB,M.Hasselbeck,00-0007091
2015,Matt McGloin,OAK,QB,M.McGloin,00-0030419
2015,Matt Moore,MIA,QB,M.Moore,00-0025708
2015,Matt Ryan,ATL,QB,M.Ryan,00-0026143
2015,Matt Schaub,BAL,QB,M.Schaub,00-0022787
2015,Matthew Stafford,DET,QB,M.Stafford,00-0026498
2015,Mike Vick,PIT,QB,M.Vick,00-0020245
2015,Nick Foles,STL,QB,N.Foles,00-0029567
2015,Peyton Manning,DEN,QB,P.Manning,00-0010346
2015,Philip Rivers,SD,QB,P.Rivers,00-0022942
2015,Russell Wilson,SEA,QB,R.Wilson,00-0029263
2015,Ryan Fitzpatrick,NYJ,QB,R.Fitzpatrick,00-0023682
2015,Ryan Lindley,IND,QB,R.Lindley,00-0029531
2015,Ryan Mallett,BAL,QB,R.Mallett,00-0028012
2015,Ryan Nassib,NYG,QB,R.Nassib,00-0030586
2015,Ryan Tannehill,MIA,QB,R.Tannehill,00-0029701
2015,Sam Bradford,PHI,QB,S.Bradford,00-0027854
2015,Scott Tolzien,GB,QB,S.Tolzien,00-0028595
2015,Sean Mannion,STL,QB,S.Mannion,00-0032245
2015,Sean Renfree,ATL,QB,S.Renfree,00-0030569
2015,Shaun Hill,MIN,QB,S.Hill,00-0020679
2015,T.J. Yates,HOU,QB,T.Yates,00-0028090
2015,Tarvaris Jackson,SEA,QB,T.Jackson,00-0024279
2015,Teddy Bridgewater,MIN,QB,T.Bridgewater,00-0031237
2015,Tom Brady,NE,QB,T.Brady,00-0019596
2015,Tony Romo,DAL,QB,T.Romo,00-0021678
2015,Tyrod Taylor,BUF,QB,T.Taylor,00-0028118
2015,Zach Mettenberger,TEN,QB,Z.Mettenberger,00-0031266
2015,Adrian Peterson,MIN,RB,A.Peterson,00-0025394
2015,Ahmad Bradshaw,IND,RB,A.Bradshaw,00-0025637
2015,Akeem Hunt,HOU,RB,A.Hunt,00-0031743
2015,Alfred Blue,HOU,RB,A.Blue,00-0031075
2015,Alfred Morris,WAS,RB,A.Morris,00-0029141
2015,Ameer Abdullah,DET,RB,A.Abdullah,00-0032104
2015,Andre Ellington,ARI,RB,A.Ellington,00-0030287
2015,Andre Williams,NYG,RB,A.Williams,00-0031055
2015,Anthony Dixon,BUF,RB,A.Dixon,00-0027772
2015,Anthony Sherman,KC,FB,A.Sherman,00-0028074
2015,Antone Smith,CHI,RB,A.Smith,00-0026855
2015,Antonio Andrews,TEN,RB,A.Andrews,00-0030789
2015,Arian Foster,HOU,RB,A.Foster,00-0026796
2015,Austin Johnson,NO,FB,A.Johnson,00-0029729
2015,Benny Cunningham,STL,RB,B.Cunningham,00-0029795
2015,Bernard Pierce,JAC,RB,B.Pierce,00-0029264
2015,Bilal Powell,NYJ,RB,B.Powell,00-0028064
2015,Bishop Sankey,TEN,RB,B.Sankey,00-0031413
2015,Bobby Rainey,TB,RB,B.Rainey,00-0029384
2015,Branden Oliver,SD,RB,B.Oliver,00-0031277
2015,Brandon Bolden,NE,RB,B.Bolden,00-0029239
2015,Bruce Miller,SF,FB,B.Miller,00-0028149
2015,Bryce Brown,SEA,RB,B.Brown,00-0029429
2015,C.J. Anderson,DEN,RB,C.Anderson,00-0029854
2015,C.J. Spiller,NO,RB,C.Spiller,00-0027861
2015,Cameron Artis-Payne,CAR,RB,C.Artis-Payne,00-0031599
2015,Carlos Hyde,SF,RB,C.Hyde,00-0031045
2015,Charcandrick West,KC,RB,C.West,00-0030668
2015,Charles Sims,TB,RB,C.Sims,00-0031390
2015,Chris Ivory,NYJ,RB,C.Ivory,00-0027531
2015,Chris Johnson,ARI,RB,C.Johnson,00-0026164
2015,Chris Polk,HOU,RB,C.Polk,00-0029438
2015,Chris Thompson,WAS,RB,C.Thompson,00-0030404
2015,Christine Michael,SEA,RB,C.Michael,00-0030432
2015,Cierre Wood,BUF,RB,C.Wood,00-0030248
2015,Corey Grant,JAC,RB,C.Grant,00-0031731
2015,Damien Williams,MIA,RB,D.Williams,00-0030874
2015,Dan Herron,IND,RB,D.Herron,00-0029588
2015,Danny Woodhead,SD,RB,D.Woodhead,00-0026019
