season,season_type,full_player_name,abbr_player_name,team,position,gsis_id
2014,post,Aaron Rodgers,A.Rodgers,GB,QB,00-0023459
2014,post,Andre Caldwell,A.Caldwell,DEN,WR,00-0026237
2014,post,Andrew Luck,A.Luck,IND,QB,00-0029668
2014,post,Andrew Quarless,A.Quarless,GB,TE,00-0027753
2014,post,Andy Dalton,A.Dalton,CIN,QB,00-0027973
2014,post,Antonio Brown,A.Brown,PIT,WR,00-0027793
2014,post,Ben Roethlisberger,B.Roethlisberger,PIT,QB,00-0022924
2014,post,Ben Tate,B.Tate,PIT,RB,00-0027890
2014,post,Bernard Pierce,B.Pierce,BAL,RB,00-0029264
2014,post,Brandon Bolden,B.Bolden,NE,RB,00-0029239
2014,post,Brandon LaFell,B.LaFell,NE,WR,00-0027681
2014,post,Brandon Pettigrew,B.Pettigrew,DET,TE,00-0026996
2014,post,Brandon Tate,B.Tate,CIN,WR,00-0027057
2014,post,Brenton Bersin,B.Bersin,CAR,WR,00-0029394
2014,post,Bruce Gradkowski,B.Gradkowski,PIT,QB,00-0024408
2014,post,Bryan Walters,B.Walters,SEA,WR,00-0027595
2014,post,C.J. Anderson,C.Anderson,DEN,RB,00-0029854
2014,post,Calvin Johnson,C.Johnson,DET,WR,00-0025389
2014,post,Cam Newton,C.Newton,CAR,QB,00-0027939
2014,post,Chris Matthews,C.Matthews,SEA,WR,00-0028702
2014,post,Cobi Hamilton,C.Hamilton,CIN,WR,00-0030290
2014,post,Coby Fleener,C.Fleener,IND,TE,00-0029697
2014,post,Cole Beasley,C.Beasley,DAL,WR,00-0029000
2014,post,Cooper Helfet,C.Helfet,SEA,TE,00-0029534
2014,post,Corey Brown,C.Brown,CAR,WR,00-0031118
2014,post,Corey Fuller,C.Fuller,DET,WR,00-0030095
2014,post,Crockett Gillmore,C.Gillmore,BAL,TE,00-0030992
2014,post,Dan Herron,D.Herron,IND,RB,00-0029588
2014,post,Danny Amendola,D.Amendola,NE,WR,00-0026035
2014,post,Darren Fells,D.Fells,ARI,TE,00-0029738
2014,post,Darrius Heyward-Bey,D.Heyward-Bey,PIT,WR,00-0026983
2014,post,Davante Adams,D.Adams,GB,WR,00-0031381
2014,post,DeAngelo Williams,D.Williams,CAR,RB,00-0024242
2014,post,DeMarco Murray,D.Murray,DAL,RB,00-0028009
2014,post,Demaryius Thomas,D.Thomas,DEN,WR,00-0027874
2014,post,Dez Bryant,D.Bryant,DAL,WR,00-0027902
2014,post,Donte Moncrief,D.Moncrief,IND,WR,00-0031339
2014,post,Doug Baldwin,D.Baldwin,SEA,WR,00-0028434
2014,post,Dri Archer,D.Archer,PIT,RB,00-0031392
2014,post,Dwayne Allen,D.Allen,IND,TE,00-0029689
2014,post,Dwayne Harris,D.Harris,DAL,WR,00-0028114
2014,post,Ed Dickson,E.Dickson,CAR,TE,00-0027675
2014,post,Eddie Lacy,E.Lacy,GB,RB,00-0030485
2014,post,Emmanuel Sanders,E.Sanders,DEN,WR,00-0027685
2014,post,Eric Ebron,E.Ebron,DET,TE,00-0031387
2014,post,Fitzgerald Toussaint,F.Toussaint,BAL,RB,00-0031332
2014,post,Fozzy Whittaker,F.Whittaker,CAR,RB,00-0029731
2014,post,Gavin Escobar,G.Escobar,DAL,TE,00-0030544
2014,post,Giovani Bernard,G.Bernard,CIN,RB,00-0030456
2014,post,Golden Tate,G.Tate,DET,WR,00-0027891
2014,post,Greg Little,G.Little,CIN,WR,00-0027997
2014,post,Greg Olsen,G.Olsen,CAR,TE,00-0025418
2014,post,Hakeem Nicks,H.Nicks,IND,WR,00-0027005
2014,post,Heath Miller,H.Miller,PIT,TE,00-0023465
2014,post,Jack Doyle,J.Doyle,IND,TE,00-0030181
2014,post,Jacoby Jones,J.Jones,BAL,WR,00-0025460
2014,post,James Starks,J.Starks,GB,RB,00-0027791
2014,post,Jaron Brown,J.Brown,ARI,WR,00-0030300
2014,post,Jason Witten,J.Witten,DAL,TE,00-0022127
2014,post,Jed Collins,J.Collins,DET,FB,00-0026072
2014,post,Jeremy Hill,J.Hill,CIN,RB,00-0031301
2014,post,Jeremy Ross,J.Ross,DET,WR,00-0028249
2014,post,Jermaine Kearse,J.Kearse,SEA,WR,00-0029159
2014,post,Jerricho Cotchery,J.Cotchery,CAR,WR,00-0022811
2014,post,Joe Flacco,J.Flacco,BAL,QB,00-0026158
2014,post,John Brown,J.Brown,ARI,WR,00-0031051
2014,post,John Carlson,J.Carlson,ARI,TE,00-0026178
2014,post,John Kuhn,J.Kuhn,GB,FB,00-0022999
2014,post,Joique Bell,J.Bell,DET,RB,00-0027218
2014,post,Jonas Gray,J.Gray,NE,RB,00-0029104
2014,post,Jonathan Stewart,J.Stewart,CAR,RB,00-0026153
2014,post,Jordy Nelson,J.Nelson,GB,WR,00-0026176
2014,post,Joseph Randle,J.Randle,DAL,RB,00-0030388
2014,post,Josh Harris,J.Harris,PIT,RB,00-0031450
2014,post,Julian Edelman,J.Edelman,NE,WR,00-0027150
2014,post,Julius Thomas,J.Thomas,DEN,TE,00-0028067
2014,post,Justin Forsett,J.Forsett,BAL,RB,00-0026373
2014,post,Kamar Aiken,K.Aiken,BAL,WR,00-0028497
2014,post,Kelvin Benjamin,K.Benjamin,CAR,WR,00-0031359
2014,post,Kerwynn Williams,K.Williams,ARI,RB,00-0030117
2014,post,Kevin Brock,K.Brock,CIN,TE,00-0026699
2014,post,Kevin Norwood,K.Norwood,SEA,WR,00-0031327
2014,post,Larry Fitzgerald,L.Fitzgerald,ARI,WR,00-0022921
2014,post,LeGarrette Blount,L.Blount,NE,RB,00-0027325
