season,season_type,full_player_name,abbr_player_name,team,position,gsis_id
2009,pre,Aaron Kelly,A.Kelly,ATL,WR,00-0026504
2009,pre,Aaron Walker,A.Walker,CLE,TE,00-0022060
2009,pre,Adam DiMichele,A.DiMichele,PHI,QB,00-0026895
2009,pre,Alex Brink,A.Brink,HOU,QB,00-0026363
2009,pre,Alex Mortensen,A.Mortensen,TEN,QB,	GSIS ID: 
2009,pre,Amani Toomer,A.Toomer,KC,WR,00-0016550
2009,pre,Andre Hall,A.Hall,HOU,RB,00-0023764
2009,pre,Andrew Davie,A.Davie,CAR,TE,00-0026649
2009,pre,Andrew Walter,A.Walter,NE,QB,00-0023504
2009,pre,Anthony Kimble,A.Kimble,MIA,RB,00-0026686
2009,pre,Antonio Pittman,A.Pittman,STL,RB,00-0025494
2009,pre,Ashley Lelie,A.Lelie,KC,WR,00-0021152
2009,pre,Aveion Cason,A.Cason,DET,RB,00-0019794
2009,pre,Billy McMullen,B.McMullen,DET,WR,00-0022135
2009,pre,Bobby Sippio,B.Sippio,DET,WR,00-0022691
2009,pre,Bobby Williams,B.Williams,MIN,WR,00-0026974
2009,pre,Brandon London,B.London,MIA,WR,00-0024681
2009,pre,Brandon Rideau,B.Rideau,CHI,WR,00-0023379
2009,pre,Brandon Williams,B.Williams,PIT,WR,00-0024299
2009,pre,Brett McDermott,B.McDermott,IND,WR,00-0026666
2009,pre,Brooks Bollinger,B.Bollinger,DET,QB,00-0022026
2009,pre,Chad Jackson,C.Jackson,DEN,WR,00-0024251
2009,pre,Chris Crane,C.Crane,IND,QB,00-0026812
2009,pre,Chris Davis,C.Davis,TEN,WR,00-0025515
2009,pre,Chris Vincent,C.Vincent,ARI,RB,00-0025736
2009,pre,Cortez Hankton,C.Hankton,TB,WR,00-0021460
2009,pre,Courtney Taylor,C.Taylor,SEA,WR,00-0025584
2009,pre,D.J. Boldin,D.Boldin,DET,WR,00-0026675
2009,pre,D.J. Hackett,D.Hackett,WAS,WR,00-0022701
2009,pre,Dallas Baker,D.Baker,PIT,WR,00-0025614
2009,pre,Damon Huard,D.Huard,SF,QB,00-0007835
2009,pre,Dane Looker,D.Looker,DET,WR,00-0019242
2009,pre,Darrell Strong,D.Strong,OAK,TE,00-0025843
2009,pre,David Patten,D.Patten,CLE,WR,00-0012642
2009,pre,Derek Kinder,D.Kinder,CHI,WR,00-0026965
2009,pre,Dominic Rhodes,D.Rhodes,BUF,RB,00-0019863
2009,pre,Dominique Dorsey,D.Dorsey,WAS,RB,00-0026483
2009,pre,Dudley Guice,D.Guice,TEN,WR,00-0026547
2009,pre,Dwayne Wright,D.Wright,NYG,RB,00-0025498
2009,pre,Ernie Wheelwright,E.Wheelwright,BAL,WR,00-0026410
2009,pre,Ingle Martin,I.Martin,DEN,QB,00-0024362
2009,pre,Jamall Lee,J.Lee,CAR,RB,00-0026711
2009,pre,Jameel Cook,J.Cook,TB,RB,00-0020391
2009,pre,JaRon Harris,J.Harris,GB,WR,00-0026785
2009,pre,Jason Carter,J.Carter,CAR,WR,00-0023782
2009,pre,Jayson Foster,J.Foster,BAL,WR,00-0026004
2009,pre,Jeb Putzier,J.Putzier,DEN,TE,00-0021100
2009,pre,Jeff Webb,J.Webb,KC,WR,00-0024404
2009,pre,Jerome Johnson,J.Johnson,STL,RB,00-0026598
2009,pre,Joe Kowalewski,J.Kowalewski,MIA,TE,00-0024170
2009,pre,Joe Newton,J.Newton,SEA,TE,00-0024594
2009,pre,Joey Harrington,J.Harrington,NO,QB,00-0021141
2009,pre,Keary Colbert,K.Colbert,DET,WR,00-0022726
2009,pre,Kevin McMahan,K.McMahan,CAR,WR,00-0024469
2009,pre,Kolo Kapanui,K.Kapanui,CIN,TE,00-0026078
2009,pre,Larry Beavers,L.Beavers,CAR,WR,00-0026698
2009,pre,Lorenzo Booker,L.Booker,PHI,RB,00-0025458
2009,pre,Marcus Maxwell,M.Maxwell,TB,WR,00-0023655
2009,pre,Marcus Monk,M.Monk,CAR,WR,00-0026388
2009,pre,Marcus Thigpen,M.Thigpen,DEN,RB,00-0026577
2009,pre,Marcus Thomas,M.Thomas,DEN,RB,00-0026306
2009,pre,Marlon Lucky,M.Lucky,CIN,RB,00-0026719
2009,pre,Marques Hagans,M.Hagans,WAS,WR,00-0024358
2009,pre,Martin Nance,M.Nance,PIT,WR,00-0023981
2009,pre,Martrez Milner,M.Milner,NO,TE,00-0025520
2009,pre,Matt Baker,M.Baker,BUF,QB,00-0023838
2009,pre,Michael Bumpus,M.Bumpus,SEA,WR,00-0025892
2009,pre,Mike Jefferson,M.Jefferson,DAL,WR,00-0025706
2009,pre,Noah Herron,N.Herron,CLE,RB,00-0023676
2009,pre,Paul Smith,P.Smith,JAC,QB,00-0026443
2009,pre,Rafael Little,R.Little,TEN,RB,00-0025922
2009,pre,Richard Angulo,R.Angulo,JAC,TE,00-0022041
2009,pre,Robert Ferguson,R.Ferguson,ATL,WR,00-0020428
2009,pre,Rodney Hannah,R.Hannah,DAL,TE,00-0025704
2009,pre,Ronald Curry,R.Curry,STL,WR,00-0021337
2009,pre,Ryne Robinson,R.Robinson,CAR,WR,00-0025505
2009,pre,Samie Parker,S.Parker,OAK,WR,00-0022754
2009,pre,Shaheer McBride,S.McBride,PHI,WR,00-0026076
2009,pre,Shaine Smith,S.Smith,BUF,WR,00-0024844
2009,pre,Shawn Bayes,S.Bayes,OAK,WR,00-0026531
2009,pre,Skyler Green,S.Green,NO,WR,00-0024340
2009,pre,Steve Sanders,S.Sanders,ARI,WR,00-0023991
2009,pre,T.J. Duckett,T.Duckett,SEA,RB,00-0021376
2009,pre,Taye Biddle,T.Biddle,NYG,WR,00-0023867
2009,pre,Todd Bouman,T.Bouman,JAC,QB,00-0001545
2009,pre,Todd Peterson,T.Peterson,JAC,WR,00-0026615
2009,pre,Travis McCall,T.McCall,BUF,TE,00-0026634
2009,pre,Tyson DeVree,T.DeVree,BUF,TE,00-0026103
2009,pre,Tyson DeVree,T.DeVree,NE,TE,00-0026103
2009,pre,Walter Mendenhall,W.Mendenhall,IND,RB,00-0026573
2009,pre,Will Franklin,W.Franklin,OAK,WR,00-0026245
2009,pre,Willie Reid,W.Reid,DAL,WR,00-0024310
