season,season_type,full_player_name,abbr_player_name,team,position,gsis_id
2011,reg,A.J. Feeley,A.Feeley,STL,QB,00-0020305
2011,reg,A.J. Green,A.Green,CIN,WR,00-0027942
2011,reg,Aaron Brown,A.Brown,DET,RB,00-0027129
2011,reg,Aaron Hernandez,A.Hernandez,NE,TE,00-0027713
2011,reg,Aaron Rodgers,A.Rodgers,GB,QB,00-0023459
2011,reg,Adrian Arrington,A.Arrington,NO,WR,00-0026377
2011,reg,Adrian Peterson,A.Peterson,MIN,RB,00-0025394
2011,reg,Ahmad Bradshaw,A.Bradshaw,NYG,RB,00-0025637
2011,reg,Ahmard Hall,A.Hall,TEN,FB,00-0024489
2011,reg,Alex Green,A.Green,GB,RB,00-0028034
2011,reg,Alex Smith,A.Smith,CLE,TE,00-0023506
2011,reg,Alex Smith,A.Smith,SF,QB,00-0023436
2011,reg,Alfonso Smith,A.Smith,ARI,RB,00-0027346
2011,reg,Allen Reisner,A.Reisner,MIN,TE,00-0028267
2011,reg,Andre Caldwell,A.Caldwell,CIN,WR,00-0026237
2011,reg,Andre Johnson,A.Johnson,HOU,WR,00-0022044
2011,reg,Andre Roberts,A.Roberts,ARI,WR,00-0027691
2011,reg,Andrew Hawkins,A.Hawkins,CIN,WR,00-0027918
2011,reg,Andrew Quarless,A.Quarless,GB,TE,00-0027753
2011,reg,Andy Dalton,A.Dalton,CIN,QB,00-0027973
2011,reg,Anquan Boldin,A.Boldin,BAL,WR,00-0022084
2011,reg,Anthony Allen,A.Allen,BAL,RB,00-0028163
2011,reg,Anthony Armstrong,A.Armstrong,WAS,WR,00-0026465
2011,reg,Anthony Becht,A.Becht,KC,TE,00-0019457
2011,reg,Anthony Dixon,A.Dixon,SF,RB,00-0027772
2011,reg,Anthony Fasano,A.Fasano,MIA,TE,00-0024268
2011,reg,Anthony Gonzalez,A.Gonzalez,IND,WR,00-0025419
2011,reg,Anthony Hill,A.Hill,IND,TE,00-0026908
2011,reg,Anthony McCoy,A.McCoy,SEA,TE,00-0027783
2011,reg,Anthony Sherman,A.Sherman,ARI,FB,00-0028074
2011,reg,Antonio Brown,A.Brown,PIT,WR,00-0027793
2011,reg,Antonio Gates,A.Gates,SD,TE,00-0021547
2011,reg,Arian Foster,A.Foster,HOU,RB,00-0026796
2011,reg,Armando Allen,A.Allen,CHI,RB,00-0028565
2011,reg,Armond Smith,A.Smith,CLE,RB,00-0028706
2011,reg,Arnaz Battle,A.Battle,PIT,WR,00-0022064
2011,reg,Arrelious Benn,A.Benn,TB,WR,00-0027654
2011,reg,Austin Collie,A.Collie,IND,WR,00-0027092
2011,reg,Austin Pettis,A.Pettis,STL,WR,00-0028016
2011,reg,Beanie Wells,B.Wells,ARI,RB,00-0027007
2011,reg,Bear Pascoe,B.Pascoe,NYG,TE,00-0026931
2011,reg,Ben Obomanu,B.Obomanu,SEA,WR,00-0024463
2011,reg,Ben Roethlisberger,B.Roethlisberger,PIT,QB,00-0022924
2011,reg,Ben Tate,B.Tate,HOU,RB,00-0027890
2011,reg,Benjamin Watson,B.Watson,CLE,TE,00-0022943
2011,reg,BenJarvus Green-Ellis,B.Green-Ellis,NE,RB,00-0025860
2011,reg,Bernard Berrian,B.Berrian,MIN,WR,00-0022807
2011,reg,Bernard Scott,B.Scott,CIN,RB,00-0026941
2011,reg,Bilal Powell,B.Powell,NYJ,RB,00-0028064
2011,reg,Billy Bajema,B.Bajema,STL,TE,00-0023679
2011,reg,Blaine Gabbert,B.Gabbert,JAC,QB,00-0027948
2011,reg,Brad Smith,B.Smith,BUF,WR,00-0024318
2011,reg,Brandon Banks,B.Banks,WAS,WR,00-0027618
2011,reg,Brandon Gibson,B.Gibson,STL,WR,00-0026937
2011,reg,Brandon Jacobs,B.Jacobs,NYG,RB,00-0023545
2011,reg,Brandon LaFell,B.LaFell,CAR,WR,00-0027681
2011,reg,Brandon Lloyd,B.Lloyd,STL,WR,00-0022097
2011,reg,Brandon Marshall,B.Marshall,MIA,WR,00-0024334
2011,reg,Brandon Myers,B.Myers,OAK,TE,00-0027135
2011,reg,Brandon Pettigrew,B.Pettigrew,DET,TE,00-0026996
2011,reg,Brandon Saine,B.Saine,GB,RB,00-0028602
2011,reg,Brandon Stokley,B.Stokley,NYG,WR,00-0015754
2011,reg,Braylon Edwards,B.Edwards,SF,WR,00-0023438
2011,reg,Brent Celek,B.Celek,PHI,TE,00-0025549
2011,reg,Brett Swain,B.Swain,SF,WR,00-0026357
2011,reg,Brian Hartline,B.Hartline,MIA,WR,00-0027077
